Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-7b-sparseGPT,1,1,32,float16,False,10,1,0.3427263100941976,13.06561279296875,13.62420654296875,90.8220808506012,22.518587827682495
llama-2-7b-sparseGPT,1,1,32,float16,False,20,1,0.5704958438873291,13.06561279296875,13.62225341796875,90.8220808506012,22.80086660385132
llama-2-7b-sparseGPT,1,1,32,float16,False,50,1,1.2584254741668701,13.06561279296875,13.62225341796875,90.8220808506012,26.2172691822052
llama-2-7b-sparseGPT,1,1,32,float16,False,100,1,2.399972120920817,13.06561279296875,13.62225341796875,90.8220808506012,33.141916275024414
llama-2-7b-sparseGPT,1,1,32,float16,False,200,1,4.69209361076355,13.06561279296875,13.68475341796875,90.8220808506012,44.33611011505127
llama-2-7b-sparseGPT,1,2,16 16,float16,False,10,1,0.3335257371266683,13.8089599609375,14.5296630859375,84.69058728218079,16.304548978805542
llama-2-7b-sparseGPT,1,2,16 16,float16,False,20,1,0.5596680641174316,13.8089599609375,14.5296630859375,84.69058728218079,18.201266527175903
llama-2-7b-sparseGPT,1,2,16 16,float16,False,50,1,1.2341309388478596,13.8089599609375,14.5296630859375,84.69058728218079,21.98681616783142
llama-2-7b-sparseGPT,1,2,16 16,float16,False,100,1,2.3575239181518555,13.8089599609375,14.5296630859375,84.69058728218079,28.145305633544922
llama-2-7b-sparseGPT,1,2,16 16,float16,False,200,1,4.606946706771851,13.8089599609375,14.5921630859375,84.69058728218079,41.50972867012024
llama-2-7b-sparseGPT,1,3,11 11 10,float16,False,10,1,0.3314906756083171,14.95855712890625,15.60308837890625,80.10008764266968,16.975889205932617
llama-2-7b-sparseGPT,1,3,11 11 10,float16,False,20,1,0.5531507333119711,14.95855712890625,15.60308837890625,80.10008764266968,18.267380237579346
llama-2-7b-sparseGPT,1,3,11 11 10,float16,False,50,1,1.220073143641154,14.95855712890625,15.63433837890625,80.10008764266968,21.9946448802948
llama-2-7b-sparseGPT,1,3,11 11 10,float16,False,100,1,2.3364950815836587,14.95855712890625,15.60308837890625,80.10008764266968,29.013678073883057
llama-2-7b-sparseGPT,1,3,11 11 10,float16,False,200,1,4.570072650909424,14.98004150390625,15.66558837890625,80.10008764266968,42.447386026382446
llama-2-7b-sparseGPT,1,4,8 8 8 8,float16,False,10,1,0.3300165335337321,15.971435546875,16.813232421875,80.38065361976624,19.80748963356018
llama-2-7b-sparseGPT,1,4,8 8 8 8,float16,False,20,1,0.5478334426879883,15.971435546875,16.860107421875,80.38065361976624,20.90989327430725
llama-2-7b-sparseGPT,1,4,8 8 8 8,float16,False,50,1,1.2165850003560383,15.971435546875,16.813232421875,80.38065361976624,24.59279489517212
llama-2-7b-sparseGPT,1,4,8 8 8 8,float16,False,100,1,2.332421859105428,16.139404296875,16.813232421875,80.38065361976624,31.59566831588745
llama-2-7b-sparseGPT,1,4,8 8 8 8,float16,False,200,1,4.572015206019084,15.803466796875,16.877685546875,80.38065361976624,44.94220304489136
llama-2-7b-sparseGPT,1,5,7 7 6 6 6,float16,False,10,1,0.3280347983042399,16.56829833984375,17.27142333984375,81.51312279701233,20.234605312347412
llama-2-7b-sparseGPT,1,5,7 7 6 6 6,float16,False,20,1,0.549921989440918,16.41595458984375,17.31829833984375,81.51312279701233,21.997318744659424
llama-2-7b-sparseGPT,1,5,7 7 6 6 6,float16,False,50,1,1.2192765871683757,16.57806396484375,17.31829833984375,81.51312279701233,25.990267753601074
llama-2-7b-sparseGPT,1,5,7 7 6 6 6,float16,False,100,1,2.3327579498291016,16.52728271484375,17.38079833984375,81.51312279701233,32.260849475860596
llama-2-7b-sparseGPT,1,5,7 7 6 6 6,float16,False,200,1,4.5674136479695635,16.60540771484375,17.35150146484375,81.51312279701233,45.709315061569214
llama-2-7b-sparseGPT,1,6,6 6 5 5 5 5,float16,False,10,1,0.32827218373616535,18.0557861328125,18.8350830078125,76.25937557220459,23.619703769683838
llama-2-7b-sparseGPT,1,6,6 6 5 5 5 5,float16,False,20,1,0.5505988597869873,17.9288330078125,18.8350830078125,76.25937557220459,25.28261137008667
llama-2-7b-sparseGPT,1,6,6 6 5 5 5 5,float16,False,50,1,1.2185657024383545,18.0655517578125,18.8663330078125,76.25937557220459,28.590707540512085
llama-2-7b-sparseGPT,1,6,6 6 5 5 5 5,float16,False,100,1,2.331835905710856,18.0128173828125,18.8350830078125,76.25937557220459,35.6274790763855
llama-2-7b-sparseGPT,1,6,6 6 5 5 5 5,float16,False,200,1,4.563327789306641,17.9483642578125,18.9522705078125,76.25937557220459,48.81900358200073
llama-2-7b-sparseGPT,1,7,5 5 5 5 4 4 4,float16,False,10,1,0.32875879605611164,18.16046142578125,19.16827392578125,76.40272736549377,24.509698390960693
llama-2-7b-sparseGPT,1,7,5 5 5 5 4 4 4,float16,False,20,1,0.5513229370117188,18.05694580078125,19.16827392578125,76.40272736549377,26.001463413238525
llama-2-7b-sparseGPT,1,7,5 5 5 5 4 4 4,float16,False,50,1,1.2179071108500164,18.09796142578125,19.10577392578125,76.40272736549377,29.954710245132446
llama-2-7b-sparseGPT,1,7,5 5 5 5 4 4 4,float16,False,100,1,2.332073926925659,18.09796142578125,19.16827392578125,76.40272736549377,36.82337212562561
llama-2-7b-sparseGPT,1,7,5 5 5 5 4 4 4,float16,False,200,1,4.567287445068359,18.13311767578125,19.26397705078125,76.40272736549377,50.036924839019775
