,cdf,batch_execution_time
0,0.0,0.0210048526860052
1,0.01,0.0210048526860052
2,0.02,0.0210048526860052
3,0.03,0.0210048526860052
4,0.04,0.0210048526860052
5,0.05,0.0210048526860052
6,0.06,0.0210048526860052
7,0.07,0.0210048526860052
8,0.08,0.0210048526860052
9,0.09,0.0210048526860052
10,0.1,0.0210048526860052
11,0.11,0.0210048526860052
12,0.12,0.0210048526860052
13,0.13,0.0210048526860052
14,0.14,0.0210048526860052
15,0.15,0.0210048526860052
16,0.16,0.0210048526860052
17,0.17,0.0210048526860052
18,0.18,0.0210048526860052
19,0.19,0.0210048526860052
20,0.2,0.0210048526860052
21,0.21,0.0210048526860052
22,0.22,0.0210048526860052
23,0.23,0.0210048526860052
24,0.24,0.0210048526860052
25,0.25,0.0210048526860052
26,0.26,0.0210048526860052
27,0.27,0.0210048526860052
28,0.28,0.0210048526860052
29,0.29,0.0210048526860052
30,0.3,0.0210048526860052
31,0.31,0.0210048526860052
32,0.32,0.0210048526860052
33,0.33,0.0210048526860052
34,0.34,0.0210048526860052
35,0.35000000000000003,0.0210048526860052
36,0.36,0.0210048526860052
37,0.37,0.0210048526860052
38,0.38,0.0210048526860052
39,0.39,0.0210048526860052
40,0.4,0.0210048526860052
41,0.41000000000000003,0.0210048526860052
42,0.42,0.0210048526860052
43,0.43,0.0210048526860052
44,0.44,0.0210048526860052
45,0.45,0.0210048526860052
46,0.46,0.0210048526860052
47,0.47000000000000003,0.0210048526860052
48,0.48,0.0210048526860052
49,0.49,0.0210048526860052
50,0.5,0.0210048526860052
51,0.51,0.0210048526860052
52,0.52,0.0210048526860052
53,0.53,0.0210048526860052
54,0.54,0.0210048526860052
55,0.55,0.0210048526860052
56,0.56,0.0210048526860052
57,0.5700000000000001,0.0210048526860052
58,0.58,0.0210048526860052
59,0.59,0.0210048526860052
60,0.6,0.0210048526860052
61,0.61,0.0210048526860052
62,0.62,0.0210048526860052
63,0.63,0.0210048526860052
64,0.64,0.0210048526860052
65,0.65,0.02104690444313434
66,0.66,0.02104690444313434
67,0.67,0.02104690444313434
68,0.68,0.02104690444313434
69,0.6900000000000001,0.02104690444313434
70,0.7000000000000001,0.02104690444313434
71,0.71,0.02104690444313434
72,0.72,0.02104690444313434
73,0.73,0.02104690444313434
74,0.74,0.02104690444313434
75,0.75,0.02104690444313434
76,0.76,0.02104690444313434
77,0.77,0.02104690444313434
78,0.78,0.02104690444313434
79,0.79,0.02104690444313434
80,0.8,0.02104690444313434
81,0.81,0.02104690444313434
82,0.8200000000000001,0.02104690444313434
83,0.8300000000000001,0.02104690444313434
84,0.84,0.02104690444313434
85,0.85,0.02104690444313434
86,0.86,0.02104690444313434
87,0.87,0.02104690444313434
88,0.88,0.02104690444313434
89,0.89,0.02104690444313434
90,0.9,0.02104690444313434
91,0.91,0.02104690444313434
92,0.92,0.02104690444313434
93,0.93,0.02104690444313434
94,0.9400000000000001,0.02104690444313434
95,0.9500000000000001,0.02104690444313434
96,0.96,0.02104690444313434
97,0.97,0.02104690444313434
98,0.98,0.02104690444313434
99,0.99,0.02104690444313434
100,1.0,0.14971809302031183
