timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 02:22:33.045, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:33.046, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:33.047, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:33.048, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:34.049, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 47, 16 %, 1 %, 49140 MiB, 48058 MiB, 618 MiB
2025/03/18 02:22:34.050, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 43, 7 %, 1 %, 49140 MiB, 48026 MiB, 650 MiB
2025/03/18 02:22:34.051, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 34, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:34.052, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:34.052, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:34.053, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:34.053, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:34.054, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:35.054, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 47, 13 %, 1 %, 49140 MiB, 48036 MiB, 640 MiB
2025/03/18 02:22:35.055, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 43, 11 %, 2 %, 49140 MiB, 48004 MiB, 672 MiB
2025/03/18 02:22:35.056, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 34, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:35.056, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:35.057, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:35.057, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:35.058, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:35.059, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:36.060, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 47, 11 %, 1 %, 49140 MiB, 48036 MiB, 640 MiB
2025/03/18 02:22:36.061, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 43, 14 %, 2 %, 49140 MiB, 48004 MiB, 672 MiB
2025/03/18 02:22:36.061, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 34, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:36.062, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:36.062, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:36.063, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:36.063, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:36.064, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:37.064, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 47, 14 %, 1 %, 49140 MiB, 48012 MiB, 664 MiB
2025/03/18 02:22:37.065, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 43, 16 %, 3 %, 49140 MiB, 47980 MiB, 696 MiB
2025/03/18 02:22:37.066, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 34, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:37.067, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:37.067, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:37.068, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:37.068, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:37.069, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:38.069, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P2, 4, 4, 47, 18 %, 1 %, 49140 MiB, 48012 MiB, 664 MiB
2025/03/18 02:22:38.070, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P2, 4, 4, 43, 12 %, 2 %, 49140 MiB, 47980 MiB, 696 MiB
2025/03/18 02:22:38.071, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 34, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:38.071, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:38.072, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:38.072, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:22:38.073, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
